Nome da Origem;Data;Temp. Ins. (C)
temperatura.csv;09/02/2023;19.6
temperatura.csv;10/02/2023;19.4
temperatura.csv;09/02/2023;22.2
temperatura.csv;09/02/2023;22.9
temperatura.csv;09/02/2023;23.4
temperatura.csv;10/02/2023;19.5
temperatura.csv;10/02/2023;20.7
temperatura.csv;10/02/2023;20.4
temperatura.csv;10/02/2023;19.9
temperatura.csv;10/02/2023;20.2
temperatura.csv;10/02/2023;19.5
temperatura.csv;09/02/2023;24
temperatura.csv;09/02/2023;25.7
temperatura.csv;09/02/2023;22.3
temperatura.csv;09/02/2023;18.5
temperatura.csv;09/02/2023;20.4
temperatura.csv;09/02/2023;27
temperatura.csv;09/02/2023;25.1
temperatura.csv;09/02/2023;23
temperatura.csv;09/02/2023;26.8
temperatura.csv;09/02/2023;26.6
temperatura.csv;09/02/2023;27.6
temperatura.csv;10/02/2023;19.7
temperatura.csv;10/02/2023;25.3
temperatura.csv;10/02/2023;23.2
temperatura.csv;10/02/2023;26
temperatura.csv;10/02/2023;28.3
temperatura.csv;10/02/2023;26.5
temperatura.csv;11/02/2023;23.7
temperatura.csv;11/02/2023;21.2
temperatura.csv;11/02/2023;20.6
temperatura.csv;11/02/2023;22.4
temperatura.csv;11/02/2023;24.1
temperatura.csv;11/02/2023;23.6
temperatura.csv;10/02/2023;22.1
temperatura.csv;10/02/2023;23.2
temperatura.csv;10/02/2023;20.1
temperatura.csv;10/02/2023;20.4
temperatura.csv;10/02/2023;19.5
temperatura.csv;10/02/2023;25.1
temperatura.csv;10/02/2023;28.6
temperatura.csv;10/02/2023;27.4
temperatura.csv;10/02/2023;28.5
temperatura.csv;10/02/2023;25.7
temperatura.csv;10/02/2023;26.8
temperatura.csv;08/02/2023;21.4
temperatura.csv;08/02/2023;19.5
temperatura.csv;08/02/2023;23.3
temperatura.csv;07/02/2023;21.7
temperatura.csv;08/02/2023;24
temperatura.csv;08/02/2023;19.7
temperatura.csv;08/02/2023;17.9
temperatura.csv;08/02/2023;18.1
temperatura.csv;08/02/2023;18.7
temperatura.csv;08/02/2023;20.1
temperatura.csv;08/02/2023;19.7
temperatura.csv;07/02/2023;27.2
temperatura.csv;07/02/2023;27.7
temperatura.csv;07/02/2023;26.2
temperatura.csv;07/02/2023;22.7
temperatura.csv;07/02/2023;24.2
temperatura.csv;07/02/2023;28.8
temperatura.csv;07/02/2023;26.5
temperatura.csv;07/02/2023;25.4
temperatura.csv;07/02/2023;28.2
temperatura.csv;07/02/2023;28.9
temperatura.csv;07/02/2023;28.9
temperatura.csv;08/02/2023;20.9
temperatura.csv;09/02/2023;20.2
temperatura.csv;09/02/2023;20.4
temperatura.csv;09/02/2023;21.7
temperatura.csv;08/02/2023;25.6
temperatura.csv;08/02/2023;24.1
temperatura.csv;09/02/2023;20.6
temperatura.csv;09/02/2023;19.9
temperatura.csv;09/02/2023;19.2
temperatura.csv;09/02/2023;21.7
temperatura.csv;09/02/2023;21.6
temperatura.csv;09/02/2023;20.7
temperatura.csv;08/02/2023;26.6
temperatura.csv;08/02/2023;26.8
temperatura.csv;08/02/2023;25.3
temperatura.csv;08/02/2023;23
temperatura.csv;08/02/2023;24.7
temperatura.csv;08/02/2023;27.9
temperatura.csv;08/02/2023;28.1
temperatura.csv;08/02/2023;26.8
temperatura.csv;08/02/2023;29
temperatura.csv;08/02/2023;29.1
temperatura.csv;08/02/2023;28.7
temperatura.csv;13/02/2023;28.7
temperatura.csv;13/02/2023;29.1
temperatura.csv;13/02/2023;28.3
temperatura.csv;13/02/2023;25.9
temperatura.csv;13/02/2023;27.8
temperatura.csv;13/02/2023;28.9
temperatura.csv;13/02/2023;24.8
temperatura.csv;14/02/2023;21.1
temperatura.csv;13/02/2023;26.1
temperatura.csv;13/02/2023;28.7
temperatura.csv;13/02/2023;28.1
temperatura.csv;13/02/2023;20.6
temperatura.csv;13/02/2023;20.4
temperatura.csv;13/02/2023;21.3
temperatura.csv;13/02/2023;21.8
temperatura.csv;13/02/2023;21.5
temperatura.csv;13/02/2023;20
temperatura.csv;13/02/2023;23.2
temperatura.csv;13/02/2023;24.5
temperatura.csv;13/02/2023;21.9
temperatura.csv;13/02/2023;19.8
temperatura.csv;13/02/2023;20.5
temperatura.csv;14/02/2023;22.6
temperatura.csv;14/02/2023;28.9
temperatura.csv;14/02/2023;30.4
temperatura.csv;14/02/2023;27.6
temperatura.csv;14/02/2023;26.4
temperatura.csv;14/02/2023;27.3
temperatura.csv;14/02/2023;29.9
temperatura.csv;14/02/2023;27
temperatura.csv;14/02/2023;26
temperatura.csv;14/02/2023;28.5
temperatura.csv;14/02/2023;30.2
temperatura.csv;14/02/2023;30
temperatura.csv;14/02/2023;20.3
temperatura.csv;14/02/2023;18.1
temperatura.csv;14/02/2023;21.9
temperatura.csv;14/02/2023;23
temperatura.csv;14/02/2023;22.6
temperatura.csv;14/02/2023;18
temperatura.csv;14/02/2023;23.5
temperatura.csv;14/02/2023;24.8
temperatura.csv;14/02/2023;22.1
temperatura.csv;14/02/2023;17.3
temperatura.csv;14/02/2023;17.7
temperatura.csv;11/02/2023;27.1
temperatura.csv;11/02/2023;26.5
temperatura.csv;11/02/2023;28
temperatura.csv;11/02/2023;27.4
temperatura.csv;11/02/2023;28.2
temperatura.csv;11/02/2023;25.8
temperatura.csv;12/02/2023;23
temperatura.csv;12/02/2023;21.3
temperatura.csv;12/02/2023;23.2
temperatura.csv;11/02/2023;24.5
temperatura.csv;12/02/2023;23.4
temperatura.csv;11/02/2023;18.6
temperatura.csv;11/02/2023;18.9
temperatura.csv;11/02/2023;19
temperatura.csv;11/02/2023;19.9
temperatura.csv;11/02/2023;19.5
temperatura.csv;11/02/2023;19.8
temperatura.csv;11/02/2023;26.4
temperatura.csv;11/02/2023;27
temperatura.csv;11/02/2023;25.3
temperatura.csv;11/02/2023;22.7
temperatura.csv;11/02/2023;24.2
temperatura.csv;12/02/2023;22.1
temperatura.csv;12/02/2023;27.7
temperatura.csv;12/02/2023;26.8
temperatura.csv;12/02/2023;26.6
temperatura.csv;12/02/2023;28.4
temperatura.csv;12/02/2023;27.6
temperatura.csv;12/02/2023;26
temperatura.csv;13/02/2023;21.5
temperatura.csv;13/02/2023;21.5
temperatura.csv;13/02/2023;22.3
temperatura.csv;12/02/2023;25.1
temperatura.csv;12/02/2023;24.3
temperatura.csv;12/02/2023;19
temperatura.csv;12/02/2023;18.6
temperatura.csv;12/02/2023;20.1
temperatura.csv;12/02/2023;22
temperatura.csv;12/02/2023;19.7
temperatura.csv;12/02/2023;21.7
temperatura.csv;12/02/2023;27.3
temperatura.csv;12/02/2023;27.7
temperatura.csv;12/02/2023;25.3
temperatura.csv;12/02/2023;23.6
temperatura.csv;12/02/2023;24.9
temperatura.csv;02/02/2023;22.8
temperatura.csv;02/02/2023;24.1
temperatura.csv;02/02/2023;20.9
temperatura.csv;02/02/2023;16.5
temperatura.csv;02/02/2023;17.4
temperatura.csv;02/02/2023;26.2
temperatura.csv;02/02/2023;27.5
temperatura.csv;02/02/2023;28.6
temperatura.csv;02/02/2023;28.2
