Nome da Origem;Data;Temp. Ins. (C)
temperatura_historico_DF_01.csv;05/01/2019;19,5
temperatura_historico_DF_01.csv;05/01/2019;19,5
temperatura_historico_DF_01.csv;06/01/2019;19,4
temperatura_historico_DF_01.csv;06/01/2019;19,2
temperatura_historico_DF_01.csv;06/01/2019;19,3
temperatura_historico_DF_01.csv;06/01/2019;19,4
temperatura_historico_DF_01.csv;06/01/2019;19,2
temperatura_historico_DF_01.csv;06/01/2019;19,1
temperatura_historico_DF_01.csv;06/01/2019;18,9
temperatura_historico_DF_01.csv;06/01/2019;18,9
temperatura_historico_DF_01.csv;06/01/2019;18,4
temperatura_historico_DF_01.csv;06/01/2019;18,4
temperatura_historico_DF_01.csv;06/01/2019;18,1
temperatura_historico_DF_01.csv;06/01/2019;19,7
temperatura_historico_DF_01.csv;06/01/2019;21,4
temperatura_historico_DF_01.csv;06/01/2019;22,8
temperatura_historico_DF_01.csv;06/01/2019;24,8
temperatura_historico_DF_01.csv;06/01/2019;25,5
temperatura_historico_DF_01.csv;06/01/2019;27,3
temperatura_historico_DF_01.csv;06/01/2019;27,5
temperatura_historico_DF_01.csv;06/01/2019;27,6
temperatura_historico_DF_01.csv;06/01/2019;27,1
temperatura_historico_DF_01.csv;06/01/2019;27
temperatura_historico_DF_01.csv;06/01/2019;26,7
temperatura_historico_DF_01.csv;06/01/2019;24,7
temperatura_historico_DF_01.csv;06/01/2019;22,9
temperatura_historico_DF_01.csv;07/01/2019;20
temperatura_historico_DF_01.csv;07/01/2019;19,1
temperatura_historico_DF_01.csv;07/01/2019;18,4
temperatura_historico_DF_01.csv;07/01/2019;18,5
temperatura_historico_DF_01.csv;07/01/2019;18,4
temperatura_historico_DF_01.csv;07/01/2019;18,5
temperatura_historico_DF_01.csv;07/01/2019;18,1
temperatura_historico_DF_01.csv;07/01/2019;17,9
temperatura_historico_DF_01.csv;07/01/2019;17,4
temperatura_historico_DF_01.csv;07/01/2019;17
temperatura_historico_DF_01.csv;07/01/2019;18,9
temperatura_historico_DF_01.csv;07/01/2019;22,6
temperatura_historico_DF_01.csv;07/01/2019;23,6
temperatura_historico_DF_01.csv;07/01/2019;25
temperatura_historico_DF_01.csv;07/01/2019;26,4
temperatura_historico_DF_01.csv;07/01/2019;27,3
